Category: All categories

Month,Real gross domestic product: (United States)
2010-01,36
2010-02,75
2010-03,63
2010-04,65
2010-05,45
2010-06,29
2010-07,23
2010-08,18
2010-09,48
2010-10,63
2010-11,58
2010-12,38
2011-01,34
2011-02,65
2011-03,58
2011-04,64
2011-05,47
2011-06,33
2011-07,27
2011-08,21
2011-09,53
2011-10,78
2011-11,60
2011-12,40
2012-01,34
2012-02,73
2012-03,65
2012-04,63
2012-05,46
2012-06,32
2012-07,27
2012-08,21
2012-09,59
2012-10,86
2012-11,58
2012-12,46
2013-01,39
2013-02,82
2013-03,64
2013-04,72
2013-05,49
2013-06,30
2013-07,28
2013-08,17
2013-09,61
2013-10,92
2013-11,67
2013-12,47
2014-01,40
2014-02,84
2014-03,72
2014-04,77
2014-05,49
2014-06,31
2014-07,29
2014-08,18
2014-09,68
2014-10,97
2014-11,68
2014-12,49
2015-01,38
2015-02,85
2015-03,80
2015-04,80
2015-05,54
2015-06,31
2015-07,28
2015-08,18
2015-09,70
2015-10,100
2015-11,75
2015-12,52
2016-01,42
2016-02,98
2016-03,85
2016-04,84
2016-05,56
2016-06,34
2016-07,25
2016-08,17
2016-09,69
2016-10,97
2016-11,71
2016-12,56
2017-01,43
2017-02,96
2017-03,92
2017-04,82
2017-05,59
2017-06,32
2017-07,27
2017-08,19
2017-09,32
